lastName,count
JASKÓLSKI,2494
DRĄG,2493
WIELGOSZ,2490
ZAWISZA,2490
GRYGIEL,2489
MYŚLIWIEC,2489
NADOLNY,2487
KWAŚNY,2486
ŁAWNICZAK,2486
KOŁODZIEJCZAK,2485
BARTNICKI,2482
BOROŃ,2479
GAŁECKI,2477
WNĘK,2477
KRASKA,2475
LEMAŃSKI,2472
MŁYNARSKI,2472
KULAS,2471
BERNACKI,2468
MIREK,2467
GAJ,2465
KLIMAS,2465
KOZICKI,2464
KOCHANOWSKI,2463
KULIKOWSKI,2461
NALEPA,2449
SZWEDA,2447
SZCZEPANEK,2446
NADOLSKI,2445
BIEŃ,2444
SZADKOWSKI,2444
ĆWIKLIŃSKI,2442
SITKO,2440
STOPA,2440
KĄKOL,2439
TABOR,2438
CZUBA,2435
KOSTRZEWSKI,2433
SOBOŃ,2432
WINNICKI,2432
SPYCHAŁA,2430
CZAPLIŃSKI,2428
RYBA,2428
BRAK DANYCH,2427
PRZYBYSZEWSKI,2425
FLAK,2419
SKORUPSKI,2418
SZAFRAN,2418
KREFT,2417
WYDRA,2416
GALIŃSKI,2410
BARTOSIEWICZ,2406
PORĘBA,2403
FIGIEL,2402
NIEZGODA,2400
BŁAŻEJEWSKI,2398
FILIPCZAK,2397
GLIŃSKI,2396
ANTONIAK,2395
KLUSKA,2394
PASTUSZKA,2389
TYMIŃSKI,2387
WĘGLARZ,2386
BŁASZKIEWICZ,2382
BARTKOWSKI,2378
MACHNIK,2378
TURSKI,2376
WALAS,2375
JANECZEK,2374
SARNOWSKI,2369
BUDA,2367
GAJEK,2366
KLIMASZEWSKI,2366
BUDNY,2365
PIETRZYKOWSKI,2365
WISZNIEWSKI,2363
MORAWIEC,2362
PAJOR,2361
SOBOCIŃSKI,2357
NOSAL,2354
DOBRZAŃSKI,2350
WCISŁO,2350
ZASADA,2350
ŁAKOMY,2348
ŚLIWKA,2348
KRÓLIK,2346
RYCHLIK,2344
ŁUGOWSKI,2343
ŚWIERCZ,2339
GALAS,2334
SEMENIUK,2334
SŁOMIŃSKI,2330
GIZA,2328
GUZ,2328
IWANOWSKI,2327
KAZIMIERCZAK,2325
RYBIŃSKI,2325
SMYK,2325
MUSIOŁ,2320
ZAWIŚLAK,2320
RUMIŃSKI,2317
GOŁASZEWSKI,2314
WIERZCHOWSKI,2312
IWANICKI,2311
SEWERYN,2308
KRAUSE,2306
SŁOMKA,2301
SZCZOTKA,2301
BRYŁA,2300
KOMAR,2300
MIKUŁA,2300
ZIOMEK,2299
GAŁUSZKA,2296
CZAPIEWSKI,2295
GOLONKA,2295
KLONOWSKI,2294
MARCZEWSKI,2292
MATCZAK,2291
TUSZYŃSKI,2291
RYBACKI,2289
WILCZEWSKI,2289
FURTAK,2288
MIZERA,2288
BOJANOWSKI,2286
CHOJECKI,2286
SZOSTEK,2285
MISZCZAK,2278
ROKITA,2278
JACKIEWICZ,2277
KASPERSKI,2277
MAKAREWICZ,2276
KALITA,2275
PIEŃKOWSKI,2272
MARCINKIEWICZ,2270
PODSIADŁO,2268
KALBARCZYK,2267
RADZIKOWSKI,2266
TRUSZKOWSKI,2265
GÓRALSKI,2264
JOŃCZYK,2263
OLENDER,2263
KORNACKI,2262
KOŁACZ,2261
PILARCZYK,2254
PIEKARZ,2253
WASZAK,2253
DUSZA,2251
KŁOSIŃSKI,2251
SZUBERT,2251
GĄSKA,2249
STRZAŁKOWSKI,2247
BOROWIAK,2245
LEWCZUK,2241
DANIEL,2239
DOMAGALSKI,2238
BABIARZ,2237
RĄCZKA,2237
CHYLIŃSKI,2233
SOBCZYŃSKI,2233
NAPIÓRKOWSKI,2232
WACHOWSKI,2231
BĄCZEK,2228
FRANKIEWICZ,2227
RADWAŃSKI,2223
NYCZ,2222
TOPOLSKI,2221
LUDWICZAK,2220
IWAN,2218
WILIŃSKI,2215
MASTALERZ,2214
KRZAK,2213
MAŁOLEPSZY,2212
SUCHOCKI,2209
KOBYLIŃSKI,2208
MACHOWSKI,2205
TARKA,2202
KRASUSKI,2201
TROJAN,2200
PIWOWAR,2197
RAKOCZY,2197
GREGORCZYK,2196
KLOC,2195
DREWNIAK,2194
DAWIDOWSKI,2190
DUL,2189
ZIEMBA,2189
PISARSKI,2186
SITARZ,2186
DWORAK,2185
MARKOWICZ,2185
ANTKOWIAK,2182
KOVALCHUK,2181
KOZIŃSKI,2179
RYDZEWSKI,2177
MACIASZEK,2174
GWIAZDA,2171
KIELAR,2170
NEUMANN,2169
STAROŃ,2164
WOJDYŁA,2164
OSIECKI,2160
PATER,2160
TRZASKA,2160
SOSIŃSKI,2159
JEŻ,2158
KLEIN,2157
BACZYŃSKI,2156
JELEŃ,2153
SZEWCZUK,2153
GĄDEK,2150
DAWID,2148
MALCZEWSKI,2147
OSTASZEWSKI,2145
CZUBAK,2144
MOTYL,2141
WOJTKOWSKI,2138
MATUSZCZAK,2132
POPIOŁEK,2132
SAKOWSKI,2131
CHOWANIEC,2130
KUSZ,2127
DĘBICKI,2126
SZAFRANIEC,2126
MILER,2125
OGRODNIK,2122
IWANIUK,2118
CZERWONKA,2114
SZLACHTA,2113
